_id,fingerprint,doi,name,Ce,Sbet,calcination_temp,calcination_time,Dpore,Vtotal,calcination_flowing_gas,calcination_reactive_gas,synthesis_para,synthesis,description,particle_size_nm,crystallite_size_nm,phase_types,phase_flag,microscopy,morphology,image_path,pretreatment_temp,pretreatment_o2_vol%,pretreatment_time_h,osc,hierarchical,lattice_parameter_A,Zr,Cu,Ea_apparent,Ni,Pr,Sn,Hf,La,Mn,Fe,Co,Sm,Zn,Nd,Pm,Ag,Ru,Eu,Tb,Gd,Bi,Cr,Y,Ti,deposit,Sr,Sc,Yb,Nb,Al,Ga,Ho,Lu,single_phase_binary
6967aede5c48023e106c03e4,f0cca68d876bbd8b58863b16f280f7b3a9d13387,10.1016/j.ceramint.2024.07.019,CeO2 - O,1.0,67.7,500.0,4.0,3.1,0.58,0.0,0.0,"To obtain CeO2–O and CeO2-R, 3.47 g Ce(NO3)3·6H2O and 0.03 g Na3PO4·12H2O (A.R, Nanjing Chemical Reagent Co., Ltd.), as well as 1.39 g Ce(NO3)3·6H2O and 15.36 g NaOH(A.R, National Pharmaceutical Group Chemical Reagent Co., Ltd.), were separately dissolved in 64 mL of ultrapure water and stirred for 1 h and 30 min, respectively. Subsequent to this, both mixtures were transferred to an autoclave and subjected to the hydrothermal processes at 160 °C and 100 °C for 24 h, respectively. The obtained powder was then calcined in a muffle furnace under the condition of air atmosphere and heating rate of 1 °C/min until reaching 500 °C for 4 h. ",hydrothermal,octahedra,70.0,35.7,Fluorite,single,True,polyhedral,TEM_50nm_6967aede5c48023e106c03e4.png,0.0,0.0,0.0,,False,5.4159,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aedf5c48023e106c03e5,36a2425804e99dc0654d4f7181b50e0b3a62e2a2,10.1016/j.ceramint.2024.07.019,CeO2 - C,1.0,31.6,500.0,4.0,3.8,0.06,0.0,0.0,"The CeO2 nano-cube (CeO2–C) was prepared using the hydrothermal method according the procedure reported by Cao et al. [47]. The specific procedure involved dissolving 3.47 g Ce(NO3)3·6H2O in 20 mL of ultrapure water, while 13.71 g NaOH was dissolved in 50 mL of ultrapure water. Subsequently, the obtained NaOH solution was added dropwise to above cerium nitrate solution under vigorous stirring. After 30 min of vigorous stirring, the mixed solution was transferred to an autoclave and heated at 180 °C for 24 h. obtained powder was then calcined in a muffle furnace under the condition of air atmosphere and heating rate of 1 °C/min until reaching 500 °C for 4 h.",hydrothermal,nano-cube,40.0,37.3,Fluorite,single,True,cubic,TEM_20nm_6967aedf5c48023e106c03e5.png,0.0,0.0,0.0,,False,5.4184,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aedf5c48023e106c03e6,a50e01944c747194ba6ebf06049b6bd54f12f2d4,10.1016/j.ceramint.2024.07.019,CeO2 - P,1.0,87.6,500.0,4.0,3.4,0.31,0.0,0.0,"The CeO2 powder (CeO2–P) was synthesized following the procedure reported by Zheng et al. [48]. In this method, 2.17 g Ce(NO3)3·6H2O, 4 g urea (A.R, Shanghai Aladdin Biochemical Technology Co., Ltd.), and 9.8 g NaOH were combined in 40 mL of ultrapure water and vigorously stirred for 25 min. The resulting mixture was then transferred to an oven at 120 °C for 24 h hydrothermal reaction. The obtained powder was then calcined in a muffle furnace under the condition of air atmosphere and heating rate of 1 °C/min until reaching 500 °C for 4 h.",hydrothermal,nanoparticles,50.0,11.7,Fluorite,single,True,nanoparticle,TEM_10nm_6967aedf5c48023e106c03e6.png,0.0,0.0,0.0,,False,5.4147,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aee05c48023e106c03e7,51ca95fb18ced29177e66abc968669176ad5977b,10.1016/j.ceramint.2024.07.019,CeO2 - S,1.0,98.2,500.0,4.0,3.4,0.06,0.0,0.0,"For CeO2–S, 1.99 g of Ce(NO3)3·6H2O (A.R, Shanghai Macklin Biochemical Technology Co., Ltd.) and 0.8 g of PVP (A.R, Shanghai Aladdin Biochemical Technology Co., Ltd.) were dissolved in a specific amount of ethylene glycol (A.R, Shanghai Aladdin Biochemical Technology Co., Ltd.). Subsequently, 8 mL of ultrapure water was added, and the mixture was stirred for 30 min. Following this, the concoction underwent hydrothermal reaction in an autoclave at 160 °C for 24 h and the obtained powder was then calcined in a muffle furnace under the condition of air atmosphere and heating rate of 1 °C/min until reaching 500 °C for 4 h. ",hydrothermal,nanosphere,50.0,10.1,Fluorite,single,True,spherical,TEM_100nm_6967aee05c48023e106c03e7.png,0.0,0.0,0.0,,False,5.4148,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aee05c48023e106c03e8,a65d52e4c52f40afb4a7a951273ab4c9021f1cc3,10.1016/j.ceramint.2024.07.019,CeO2 - R,1.0,69.9,500.0,4.0,3.8,0.3,0.0,0.0,"To obtain CeO2–O and CeO2-R, 3.47 g Ce(NO3)3·6H2O and 0.03 g Na3PO4·12H2O (A.R, Nanjing Chemical Reagent Co., Ltd.), as well as 1.39 g Ce(NO3)3·6H2O and 15.36 g NaOH(A.R, National Pharmaceutical Group Chemical Reagent Co., Ltd.), were separately dissolved in 64 mL of ultrapure water and stirred for 1 h and 30 min, respectively. Subsequent to this, both mixtures were transferred to an autoclave and subjected to the hydrothermal processes at 160 °C and 100 °C for 24 h, respectively. The obtained powder was then calcined in a muffle furnace under the condition of air atmosphere and heating rate of 1 °C/min until reaching 500 °C for 4 h. ",hydrothermal,nanorod,50.0,12.8,Fluorite,single,True,nanorods,TEM_20nm_6967aee05c48023e106c03e8.png,0.0,0.0,0.0,,False,5.4158,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aee15220ac46b0141225,f9208e4886f9442012ead7a002f603b5b9d6e7fa,10.1016/j.fuel.2023.127529,CuCe0.7Zr0.3,0.5686274509803921,84.2,500.0,4.0,3.4,0.06,0.0,0.0,"A series of CuO-CexZr1-xOy catalysts were prepared by a novel surfactant assisted grinding method. In a typical procedure, appropriate amounts of nitrate salts of Cu, Ce and Zr, and oxalic acid (the molar ratio of oxalic acid to metal ions = 1.7:1; the content of CuO was fixed at 10 wt% based on our previous study [28]) were manually ground in an agate mortar for 5 min. Then, an appropriate amount of surfactant PEG 600 was added to the mixture and ground for further 25 min. After that, all the components became a uniform, viscous and muddy precursor. Then, it was dried at 65 ◦C for 24 h, calcined in air at 500 ◦C for 4 h with a heating rate of 5 ◦C/min to obtain the CuO-CexZr1-xOy catalysts. The molar contents of Ce in the CexZr1-xOy were x = 1, 0.7, 0.5, 0.3 and 0, and the corresponding catalysts were denoted as CuCe, CuCe0.7Zr0.3, CuCe0.5Zr0.5, CuCe0.3Zr0.7 and CuZr, respectively.",surfactant assisted solid grinding,,,18.4,t-ZrO2 &  m-ZrO2 & m-CuO,multi,False,,,200.0,0.0,0.5,,False,,0.23529411764705882,0.19607843137254902,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6967aee35220ac46b0141227,c64f73a7ebe4980bb23a0cc1511878bbfedf3856,10.1016/j.fuel.2023.127529,CuCe,0.78,59.7,500.0,4.0,4.1,0.07,0.0,0.0,"A series of CuO-CexZr1-xOy catalysts were prepared by a novel surfactant assisted grinding method. In a typical procedure, appropriate amounts of nitrate salts of Cu, Ce and Zr, and oxalic acid (the molar ratio of oxalic acid to metal ions = 1.7:1; the content of CuO was fixed at 10 wt% based on our previous study [28]) were manually ground in an agate mortar for 5 min. Then, an appropriate amount of surfactant PEG 600 was added to the mixture and ground for further 25 min. After that, all the components became a uniform, viscous and muddy precursor. Then, it was dried at 65 ◦C for 24 h, calcined in air at 500 ◦C for 4 h with a heating rate of 5 ◦C/min to obtain the CuO-CexZr1-xOy catalysts. The molar contents of Ce in the CexZr1-xOy were x = 1, 0.7, 0.5, 0.3 and 0, and the corresponding catalysts were denoted as CuCe, CuCe0.7Zr0.3, CuCe0.5Zr0.5, CuCe0.3Zr0.7 and CuZr, respectively.",surfactant assisted solid grinding,,,,Fluorite,single,False,,,200.0,0.0,0.5,,False,,0.0,0.22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aee99890fdd35aa2c544,2123efd9b614decf153fa9e4ebf6855de3fd3423,10.1016/j.jssc.2021.122253,RT-CeO2,1.0,120.0,500.0,3.0,0.0,0.0,0.0,0.0,"The chemicals, cerium nitrate hexahydrate, Ce(NO3)3·6H2Oand ammonia were purchased from Aldrich (Germany, purity 99.99%). CeO2 nanoparticles were prepared by a process that involves the homogeneous precipitation from cerium salt solution with dilute aqueous ammonia. In the case of ceria synthesised at room temperature, the requisite quantity of precursor was dissolved in double-distilled water and was precipitated by dropwise addition of the solution to aqueous ammonia over a period. Excess precipitant was maintained during the process. The obtained light yellow coloured slurry was washed 10 times with deionized water to remove any water-soluble species and subsequently washed 3 times with ethanol to remove water and disrupt hydrogen bonded networks between water and the precursor, which otherwise led to severe aggregation upon heating. The collected precipitate was oven-dried at 110 ​°C for 12 ​h, crushed using an agate mortar, and subsequently calcined at 500 ​°C for 3 ​h in an air atmosphere to obtain the oxide material (RT-Ce)",hydrothermal,truncated octahedral,8.0,9.0,Fluorite,single,True,polyhedral,TEM_20nm_6967aee99890fdd35aa2c544.png,300.0,0.0,1.0,,False,5.43,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aee95c48023e106c03f2,6b49d41859fada976a45e0a81b7113b7bcf19593,10.1016/j.jssc.2021.122253,HT-CeO2,1.0,60.3,500.0,3.0,0.0,0.0,0.0,0.0,"The chemicals, cerium nitrate hexahydrate, Ce(NO3)3·6H2Oand ammonia were purchased from Aldrich (Germany, purity 99.99%). CeO2 nanoparticles were prepared by a process that involves the homogeneous precipitation from cerium salt solution with dilute aqueous ammonia. In the case of ceria synthesised at room temperature, the requisite quantity of precursor was dissolved in double-distilled water and was precipitated by dropwise addition of the solution to aqueous ammonia over a period. Excess precipitant was maintained during the process. The obtained light yellow coloured slurry was washed 10 times with deionized water to remove any water-soluble species and subsequently washed 3 times with ethanol to remove water and disrupt hydrogen bonded networks between water and the precursor, which otherwise led to severe aggregation upon heating. The collected precipitate obtained after ammonia addition to the precursor solution was immediately transferred into a tightly sealed stainless steel vessel and kept in an air oven maintained at 130 ​°C for 24 ​h. The solid collected was dried at 110 ​°C in the air oven and calcined at 500 ​°C for 3 ​h to yield the oxide (HT-Ce).",hydrothermal,nano-cube,18.0,17.3,Fluorite,single,True,cubic,TEM_20nm_6967aee95c48023e106c03f2.png,300.0,0.0,1.0,,False,5.42,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6967aef55220ac46b0141239,7cd4e3feedcfc257124c0cf401ae0364b51d0031,10.1016/j.surfcoat.2018.09.035,CeO2,1.0,16.0,550.0,4.0,15.0,0.0596,0.0,0.0,"The different mixed oxide catalysts were prepared by slightly modified two-steps solution combustion synthesis using Ce(NO3)3.6H2O and Cu(NO3)2.3H2O as oxidizers and citric acid (C6H8O7) as a fuel [23]. For the synthesis of CeO2, CuO and CexCux−1O2 mixed oxides, appropriate volumes of 0.5 M stock solutions of cerium nitrate, copper nitrate and citric acid, all dissolved in ultrapure deionized water, were mixed together. For the synthesis of CexCu1−xO2−δ, a suitable amount of copper nitrate was used to obtain catalysts with the general formula CexCu1−xO2−δ, where x = 0, 0.3, 0.5, 0.7, 0.8, 0.9, 1. For all catalysts, the amount of citric acid was chosen so that the mole ratio of the citric acid to the total metal ions is 1.5:1 (slight excess of citric acid). The reaction mixture of the metal nitrate precursors and the fuel were heated under stirring in a beaker placed in a sand-bath over a hotplate at 90 °C. The reaction mixture was left under heating and stirring till evaporation of excess water and formation of gel-like material. The gel-like material formed was then transferred to a muffle furnace pre-heated to 380 °C and was kept at this temperature for 4 h leading to combustion and formation of spongy solid product. The spongy solid product was calcined in static air at 550 °C for 4 h with heating rate of 5 °C/min. Finally, the resulting solid was ground to fine powder and used as is for characterization and catalytic testing.",solution combustion,pure,,35.38,Fluorite,single,True,sponge,SEM_5000nm_6967aef55220ac46b0141239.png,0.0,0.0,0.0,,False,5.448,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
