_id,fingerprint,doi_x,name,Ce,Sbet,calcination_temp,calcination_time,Dpore,Vtotal,calcination_flowing_gas,calcination_reactive_gas,synthesis_para,synthesis,description,particle_size_nm,crystallite_size_nm,phase_types,phase_flag,microscopy,morphology,image_path,pretreatment_temp_x,pretreatment_o2_vol%,pretreatment_time_h,osc,hierarchical,lattice_parameter_A,Zr,Cu,Ea_apparent,Ni,Pr,Sn,Hf,La,Mn,Fe,Co,Sm,Zn,Nd,Pm,Ag,Ru,Eu,Tb,Gd,Bi,Cr,Y,Ti,deposit,Sr,Sc,Yb,Nb,Al,Ga,Ho,Lu,single_phase_binary,material_id,pretreatment_temp_y,pretreatment_time,pretreatment_gas_type,adsorption_co2_vol%,adsorption_flow_ml_min,adsorption_temp,adsorption_time,ramp_rate_C_min,doi_y
6967aef55220ac46b014123a,826ce68c569771c471a3c3a1003a6b8da002f284,10.1016/j.surfcoat.2018.09.035,Ce0.8Cu0.2O2,0.8,32.0,550.0,4.0,11.0,0.0875,0.0,0.0,"The different mixed oxide catalysts were prepared by slightly modified two-steps solution combustion synthesis using Ce(NO3)3.6H2O and Cu(NO3)2.3H2O as oxidizers and citric acid (C6H8O7) as a fuel [23]. For the synthesis of CeO2, CuO and CexCux−1O2 mixed oxides, appropriate volumes of 0.5 M stock solutions of cerium nitrate, copper nitrate and citric acid, all dissolved in ultrapure deionized water, were mixed together. For the synthesis of CexCu1−xO2−δ, a suitable amount of copper nitrate was used to obtain catalysts with the general formula CexCu1−xO2−δ, where x = 0, 0.3, 0.5, 0.7, 0.8, 0.9, 1. For all catalysts, the amount of citric acid was chosen so that the mole ratio of the citric acid to the total metal ions is 1.5:1 (slight excess of citric acid). The reaction mixture of the metal nitrate precursors and the fuel were heated under stirring in a beaker placed in a sand-bath over a hotplate at 90 °C. The reaction mixture was left under heating and stirring till evaporation of excess water and formation of gel-like material. The gel-like material formed was then transferred to a muffle furnace pre-heated to 380 °C and was kept at this temperature for 4 h leading to combustion and formation of spongy solid product. The spongy solid product was calcined in static air at 550 °C for 4 h with heating rate of 5 °C/min. Finally, the resulting solid was ground to fine powder and used as is for characterization and catalytic testing.",solution combustion,pure,,12.83,Fluorite,single,True,sponge,SEM_500nm_6967aef55220ac46b014123a.png,0.0,0.0,0.0,,False,5.417,0.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967aef55220ac46b014123a,500,2,oxidising,5,30,,0.5,30,10.1016/j.surfcoat.2018.09.035
6967af305c48023e106c0458,bb10ae623985fa733b7d844fe8d5874d9bd1158a,10.1021/acsami.1c02934,NiCeOx,0.8,13.3,500.0,6.0,0.0,0.051,0.0,0.0,"The microwave-accelerated reaction system (MARS-6) for material synthesis was used in this study and has been described elsewhere. (18) The doped-ceria materials were prepared by dissolving the precursor salts Ce(NO3)3·6H2O and M(NO3)3·xH2O (M = metal heteroatom) in distilled water with the respective molar ratios for obtaining the final composition of M–Ce–O, where M: Fe, Mn, Ni, Co, Zn, Cu, and Zr and nominal M/Ce ratio: 0.25. Citric acid was used as a complexing agent. Calcination in static air, ca. 500 °C for 6 h under atmospheric pressure, was performed in all samples. More details on the applied synthesis and calcination procedures applied are provided in the Supporting Information.",microwave assisted sol-gel,doped nanoparticle,,12.43,Fluorite,single,False,polyhedra,,0.0,0.0,0.0,,False,5.43,0.0,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967af305c48023e106c0458,500,2,oxidising,5,30,,0.5,30,10.1021/acsami.1c02934
6967af305c48023e106c045b,412791362e06edf0190f10b8451ab8ce6419be90,10.1021/acsami.1c02934,CuCeOx,0.8,16.2,500.0,6.0,0.0,0.085,0.0,0.0,"The microwave-accelerated reaction system (MARS-6) for material synthesis was used in this study and has been described elsewhere. (18) The doped-ceria materials were prepared by dissolving the precursor salts Ce(NO3)3·6H2O and M(NO3)3·xH2O (M = metal heteroatom) in distilled water with the respective molar ratios for obtaining the final composition of M–Ce–O, where M: Fe, Mn, Ni, Co, Zn, Cu, and Zr and nominal M/Ce ratio: 0.25. Citric acid was used as a complexing agent. Calcination in static air, ca. 500 °C for 6 h under atmospheric pressure, was performed in all samples. More details on the applied synthesis and calcination procedures applied are provided in the Supporting Information.",microwave assisted sol-gel,doped nanoparticle,,11.07,Fluorite,single,True,polyhedra,TEM_5nm_6967af305c48023e106c045b.png,0.0,0.0,0.0,,False,5.31,0.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967af305c48023e106c045b,500,2,oxidising,5,30,,0.5,30,10.1021/acsami.1c02934
6967af315c48023e106c045c,9a9310fddb2452873ff25f26170864b0486011f7,10.1021/acsami.1c02934,CoCeOx,0.8,11.9,500.0,6.0,0.0,0.05,0.0,0.0,"The microwave-accelerated reaction system (MARS-6) for material synthesis was used in this study and has been described elsewhere. (18) The doped-ceria materials were prepared by dissolving the precursor salts Ce(NO3)3·6H2O and M(NO3)3·xH2O (M = metal heteroatom) in distilled water with the respective molar ratios for obtaining the final composition of M–Ce–O, where M: Fe, Mn, Ni, Co, Zn, Cu, and Zr and nominal M/Ce ratio: 0.25. Citric acid was used as a complexing agent. Calcination in static air, ca. 500 °C for 6 h under atmospheric pressure, was performed in all samples. More details on the applied synthesis and calcination procedures applied are provided in the Supporting Information.",microwave assisted sol-gel,doped nanoparticle,,16.35,Fluorite,single,True,polyhedra,TEM_5nm_6967af315c48023e106c045c.png,0.0,0.0,0.0,,False,5.42,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967af315c48023e106c045c,500,2,oxidising,5,30,,0.5,30,10.1021/acsami.1c02934
6967af315220ac46b0141267,330fb08f5bc3b3356e5c656047508904f2d08d35,10.1021/acsami.1c02934,ZnCeOx,0.8,11.1,500.0,6.0,0.0,0.064,0.0,0.0,"The microwave-accelerated reaction system (MARS-6) for material synthesis was used in this study and has been described elsewhere. (18) The doped-ceria materials were prepared by dissolving the precursor salts Ce(NO3)3·6H2O and M(NO3)3·xH2O (M = metal heteroatom) in distilled water with the respective molar ratios for obtaining the final composition of M–Ce–O, where M: Fe, Mn, Ni, Co, Zn, Cu, and Zr and nominal M/Ce ratio: 0.25. Citric acid was used as a complexing agent. Calcination in static air, ca. 500 °C for 6 h under atmospheric pressure, was performed in all samples. More details on the applied synthesis and calcination procedures applied are provided in the Supporting Information.",microwave assisted sol-gel,doped nanoparticle,,13.86,Fluorite & ZnO2,multi,True,polyhedra,TEM_5nm_6967af315220ac46b0141267.png,0.0,0.0,0.0,,False,5.37,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6967af315220ac46b0141267,500,2,oxidising,5,30,,0.5,30,10.1021/acsami.1c02934
69b7d5329605ebc57c753141,8a27b056de891ae0f476334865c885eed8e5a0b5,10.1016/j.cattod.2021.11.040,Ce90La10,0.9,9.0,650.0,4.0,16.0,0.037,,,"The six materials investigated in this study were prepared by doping ceria with different quantities (i.e. 10%, 25% or 50% atomic) of lanthanum or neodymium. The samples were named CeXXReYY, where Re is the doping rare earth (La or Nd) while XX and YY are the atomic percentages of Ce and of the doping element, respectively. A hydrothermal synthesis route was used, following a procedure reported elsewhere [23], [32]. In brief, 48 g of NaOH (Carlo Erba Reagents) were dissolved in 70 mL of deionized water, stirring for 30 min to dissipate the released heat. Meanwhile, another solution was prepared by mixing appropriate amounts (20 mmol in all) of Ce(NO3)3·6H2O, La(NO3)3·6H2O or Nd(NO3)3·6H2O (all provided by Sigma-Aldrich) in 10 mL of deionized water. The latter solution was then slowly added dropwise to the first one, stirring for 1 h at room temperature (RT). The thus obtained cloudy mixture was then poured into a PTFE liner and placed into a stainless steel autoclave, which was put in an oven and heated at 180 °C for 24 h. Afterwards, the muddy precipitate was rinsed several times with deionized water and ethanol and dried at 70 °C overnight. Finally, the powder obtained was gently ground in a mortar and calcined in an oven at 650 °C for 4 h.",hydrothermal,solid solution,,42.0,Fluorite,single,True,cubic,SEM_200nm_69b7d5329605ebc57c753141.png,100.0,20.0,0.5,,False,0.5447,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,69b7d5329605ebc57c753141,550,2,,100,30,over cool,over cool,10,10.1016/j.cattod.2021.11.040
69b7d5329605ebc57c753143,4168580fef152119e4f2663d6f3f2cbd9f7ef1a4,10.1016/j.cattod.2021.11.040,Ce75La25,0.75,14.0,650.0,4.0,12.0,0.041,,,"The six materials investigated in this study were prepared by doping ceria with different quantities (i.e. 10%, 25% or 50% atomic) of lanthanum or neodymium. The samples were named CeXXReYY, where Re is the doping rare earth (La or Nd) while XX and YY are the atomic percentages of Ce and of the doping element, respectively. A hydrothermal synthesis route was used, following a procedure reported elsewhere [23], [32]. In brief, 48 g of NaOH (Carlo Erba Reagents) were dissolved in 70 mL of deionized water, stirring for 30 min to dissipate the released heat. Meanwhile, another solution was prepared by mixing appropriate amounts (20 mmol in all) of Ce(NO3)3·6H2O, La(NO3)3·6H2O or Nd(NO3)3·6H2O (all provided by Sigma-Aldrich) in 10 mL of deionized water. The latter solution was then slowly added dropwise to the first one, stirring for 1 h at room temperature (RT). The thus obtained cloudy mixture was then poured into a PTFE liner and placed into a stainless steel autoclave, which was put in an oven and heated at 180 °C for 24 h. Afterwards, the muddy precipitate was rinsed several times with deionized water and ethanol and dried at 70 °C overnight. Finally, the powder obtained was gently ground in a mortar and calcined in an oven at 650 °C for 4 h.",hydrothermal,solid solution,,12.0,Fluorite & CexLayOz,multi,True,cubic,SEM_200nm_69b7d5329605ebc57c753143.png,100.0,20.0,0.5,,False,0.5495,0.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69b7d5329605ebc57c753143,550,2,,100,30,over cool,over cool,10,10.1016/j.cattod.2021.11.040
69b7d5339605ebc57c753145,0c9849e52f86cc76450937bb677473577a7be378,10.1016/j.cattod.2021.11.040,Ce50La50,0.5,18.0,650.0,4.0,10.0,0.047,,,"The six materials investigated in this study were prepared by doping ceria with different quantities (i.e. 10%, 25% or 50% atomic) of lanthanum or neodymium. The samples were named CeXXReYY, where Re is the doping rare earth (La or Nd) while XX and YY are the atomic percentages of Ce and of the doping element, respectively. A hydrothermal synthesis route was used, following a procedure reported elsewhere [23], [32]. In brief, 48 g of NaOH (Carlo Erba Reagents) were dissolved in 70 mL of deionized water, stirring for 30 min to dissipate the released heat. Meanwhile, another solution was prepared by mixing appropriate amounts (20 mmol in all) of Ce(NO3)3·6H2O, La(NO3)3·6H2O or Nd(NO3)3·6H2O (all provided by Sigma-Aldrich) in 10 mL of deionized water. The latter solution was then slowly added dropwise to the first one, stirring for 1 h at room temperature (RT). The thus obtained cloudy mixture was then poured into a PTFE liner and placed into a stainless steel autoclave, which was put in an oven and heated at 180 °C for 24 h. Afterwards, the muddy precipitate was rinsed several times with deionized water and ethanol and dried at 70 °C overnight. Finally, the powder obtained was gently ground in a mortar and calcined in an oven at 650 °C for 4 h.",hydrothermal,solid solution,,11.0,Fluorite & CexLayOz,multi,True,nanorods,SEM_200nm_69b7d5339605ebc57c753145.png,100.0,20.0,0.5,,False,0.5592,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69b7d5339605ebc57c753145,550,2,,100,30,over cool,over cool,10,10.1016/j.cattod.2021.11.040
69b7d5349605ebc57c753147,bf7056c78cef1f8f527f2ea4d76fcc417325dcb0,10.1016/j.cattod.2021.11.040,Ce90Nd10,0.9,10.0,650.0,4.0,27.0,0.075,,,"The six materials investigated in this study were prepared by doping ceria with different quantities (i.e. 10%, 25% or 50% atomic) of lanthanum or neodymium. The samples were named CeXXReYY, where Re is the doping rare earth (La or Nd) while XX and YY are the atomic percentages of Ce and of the doping element, respectively. A hydrothermal synthesis route was used, following a procedure reported elsewhere [23], [32]. In brief, 48 g of NaOH (Carlo Erba Reagents) were dissolved in 70 mL of deionized water, stirring for 30 min to dissipate the released heat. Meanwhile, another solution was prepared by mixing appropriate amounts (20 mmol in all) of Ce(NO3)3·6H2O, La(NO3)3·6H2O or Nd(NO3)3·6H2O (all provided by Sigma-Aldrich) in 10 mL of deionized water. The latter solution was then slowly added dropwise to the first one, stirring for 1 h at room temperature (RT). The thus obtained cloudy mixture was then poured into a PTFE liner and placed into a stainless steel autoclave, which was put in an oven and heated at 180 °C for 24 h. Afterwards, the muddy precipitate was rinsed several times with deionized water and ethanol and dried at 70 °C overnight. Finally, the powder obtained was gently ground in a mortar and calcined in an oven at 650 °C for 4 h.",hydrothermal,solid solution,,109.0,Fluorite,single,True,cubic,SEM_200nm_69b7d5349605ebc57c753147.png,100.0,20.0,0.5,,False,0.5431,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,69b7d5349605ebc57c753147,550,2,,100,30,over cool,over cool,10,10.1016/j.cattod.2021.11.040
69b7d5349605ebc57c753149,2feb6530f524e985a20cc9cb598916438e2ae046,10.1016/j.cattod.2021.11.040,Ce75Nd25,0.75,13.0,650.0,4.0,20.0,0.066,,,"The six materials investigated in this study were prepared by doping ceria with different quantities (i.e. 10%, 25% or 50% atomic) of lanthanum or neodymium. The samples were named CeXXReYY, where Re is the doping rare earth (La or Nd) while XX and YY are the atomic percentages of Ce and of the doping element, respectively. A hydrothermal synthesis route was used, following a procedure reported elsewhere [23], [32]. In brief, 48 g of NaOH (Carlo Erba Reagents) were dissolved in 70 mL of deionized water, stirring for 30 min to dissipate the released heat. Meanwhile, another solution was prepared by mixing appropriate amounts (20 mmol in all) of Ce(NO3)3·6H2O, La(NO3)3·6H2O or Nd(NO3)3·6H2O (all provided by Sigma-Aldrich) in 10 mL of deionized water. The latter solution was then slowly added dropwise to the first one, stirring for 1 h at room temperature (RT). The thus obtained cloudy mixture was then poured into a PTFE liner and placed into a stainless steel autoclave, which was put in an oven and heated at 180 °C for 24 h. Afterwards, the muddy precipitate was rinsed several times with deionized water and ethanol and dried at 70 °C overnight. Finally, the powder obtained was gently ground in a mortar and calcined in an oven at 650 °C for 4 h.",hydrothermal,solid solution,,36.0,Fluorite & CexNdyOz,multi,True,cubic,SEM_200nm_69b7d5349605ebc57c753149.png,100.0,20.0,0.5,,False,0.5466,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69b7d5349605ebc57c753149,550,2,,100,30,over cool,over cool,10,10.1016/j.cattod.2021.11.040
