data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
converted,standard_mlp,Random_by_Material,0.2,train_config_0,0.735427975654602,0.02899322658777237,0.12423425912857056,0.5622851848602295,0.046235475689172745,0.15475036203861237,2180,513,208,52
converted,standard_mlp,Remove_Metal,Fe,train_config_0,0.6810177564620972,0.0349738784134388,0.13937994837760925,0.6635092496871948,0.0314054898917675,0.13281458616256714,2552,141,249,11
converted,standard_mlp,Remove_Metal,Mn,train_config_0,0.5262657403945923,0.05200383439660072,0.18553318083286285,0.1575794219970703,0.08852387964725494,0.24581356346607208,1791,902,176,84
converted,standard_mlp,Remove_Metal,Cu,train_config_0,0.10212075710296631,0.09816090762615204,0.2799736261367798,0.03590095043182373,0.09770020842552185,0.2786100506782532,1970,723,169,91
converted,standard_mlp,Remove_Metal,Zr,train_config_0,0.3696606159210205,0.06901705265045166,0.2294146567583084,0.18261069059371948,0.08622726052999496,0.25228819251060486,2186,507,213,47
converted,standard_mlp,Remove_Metal,Co,train_config_0,0.4611890912055969,0.05842500180006027,0.2055143117904663,0.36728769540786743,0.07562083750963211,0.2378213107585907,2589,104,246,14
converted,standard_mlp,Remove_Metal,Ni,train_config_0,0.5775556564331055,0.04579523205757141,0.1720057725906372,0.5732386112213135,0.05135790631175041,0.16923917829990387,2603,90,249,11
converted,standard_mlp,Remove_Metal,Sn,train_config_0,0.6544389724731445,0.03775455430150032,0.14737284183502197,0.6677761673927307,0.028803406283259392,0.1208929717540741,2625,68,253,7
converted,standard_mlp,Remove_Metal,Gd,train_config_0,0.43795114755630493,0.06158832833170891,0.2119646519422531,0.2794593572616577,0.07328272610902786,0.21841953694820404,2442,251,237,23
converted,standard_mlp,Remove_Metal,Bi,train_config_0,0.4511978030204773,0.06037631630897522,0.2078680694103241,0.39747297763824463,0.052882514894008636,0.18316549062728882,2476,217,238,22
converted,standard_mlp,Remove_Metal,Sm,train_config_0,0.622969388961792,0.04102715477347374,0.15866585075855255,0.7589637041091919,0.026261435821652412,0.1165645495057106,2521,172,244,16
converted,standard_mlp,Remove_Metal,Nd,train_config_0,0.7180365920066833,0.030737541615962982,0.12725897133350372,0.5643129348754883,0.045537594705820084,0.1533803641796112,2587,106,247,13
converted,standard_mlp,Remove_Metal,Hf,train_config_0,0.4139796495437622,0.06393072009086609,0.2182503342628479,0.4385497570037842,0.054796941578388214,0.20304007828235626,2628,65,256,4
converted,standard_mlp,Remove_Metal,Pr,train_config_0,0.7347276210784912,0.028893224895000458,0.12439954280853271,0.35243964195251465,0.06989944726228714,0.20122931897640228,2519,174,244,16
converted,standard_mlp,Remove_Metal,La,train_config_0,0.7557211518287659,0.026608387008309364,0.1173257902264595,0.8464295864105225,0.016382943838834763,0.10351536422967911,2517,176,245,15
converted,standard_mlp,Remove_Metal,Eu,train_config_0,0.46159178018569946,0.05859749764204025,0.20447295904159546,0.2966589331626892,0.07371404021978378,0.23748286068439484,2634,59,256,4
converted,standard_mlp,Remove_Metal,Tb,train_config_0,0.4807705283164978,0.0566248893737793,0.20118092000484467,0.34847915172576904,0.06380710750818253,0.21340122818946838,2647,46,257,3
converted,standard_mlp,Remove_Metal,Ti,train_config_0,0.7593849301338196,0.02632157877087593,0.11487709730863571,0.8063597083091736,0.015157682821154594,0.10357431322336197,2631,62,254,6
