data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
base,standard_mlp,Remove_Metal,Fe,train_config_0,0.51857590675354,0.05464303120970726,0.19507719576358795,0.3021860122680664,0.06512865424156189,0.20978613197803497,1726,141,164,11
base,standard_mlp,Remove_Metal,Mn,train_config_0,0.2555108666419983,0.08286727219820023,0.25479012727737427,0.07244312763214111,0.10411269217729568,0.27970951795578003,1211,656,119,56
base,standard_mlp,Remove_Metal,Cu,train_config_0,0.0035709738731384277,0.11080766469240189,0.29826295375823975,-0.13230717182159424,0.12457719445228577,0.31525710225105286,1451,416,124,51
base,standard_mlp,Remove_Metal,Zr,train_config_0,0.28086328506469727,0.0814119502902031,0.2507625222206116,0.09778821468353271,0.08987351506948471,0.25988513231277466,1664,203,158,17
base,standard_mlp,Remove_Metal,Co,train_config_0,0.46390819549560547,0.05991727486252785,0.20657703280448914,0.20047688484191895,0.0955578163266182,0.23377226293087006,1763,104,161,14
base,standard_mlp,Remove_Metal,Ni,train_config_0,0.5315655469894409,0.05228519067168236,0.18804199993610382,0.535804271697998,0.05586287006735802,0.19626373052597046,1777,90,164,11
base,standard_mlp,Remove_Metal,Sn,train_config_0,0.730114221572876,0.03014722280204296,0.12738755345344543,0.7533338665962219,0.030880365520715714,0.13293632864952087,1813,54,167,8
base,standard_mlp,Remove_Metal,Gd,train_config_0,-0.002794027328491211,0.11330810189247131,0.3019254803657532,0.03843158483505249,0.10079876333475113,0.27839916944503784,1675,192,158,17
base,standard_mlp,Remove_Metal,Bi,train_config_0,0.6773233413696289,0.03641625493764877,0.14306394755840302,0.7772730588912964,0.021389128640294075,0.10818572342395782,1736,131,162,13
base,standard_mlp,Remove_Metal,Sm,train_config_0,0.5967921018600464,0.045349106192588806,0.1667879819869995,0.5282838344573975,0.05128521844744682,0.17945709824562073,1724,143,162,13
base,standard_mlp,Remove_Metal,Hf,train_config_0,0.5063598155975342,0.05562891811132431,0.19687123596668243,0.4841075539588928,0.05035054683685303,0.19259923696517944,1802,65,171,4
base,standard_mlp,Remove_Metal,Pr,train_config_0,0.493547260761261,0.05682292953133583,0.20027783513069153,0.366435170173645,0.06923208385705948,0.2131274938583374,1775,92,166,9
base,standard_mlp,Remove_Metal,La,train_config_0,0.3771708011627197,0.07012001425027847,0.22828637063503265,0.3087567687034607,0.07393284142017365,0.23610594868659973,1718,149,163,12
base,standard_mlp,Remove_Metal,Ti,train_config_0,0.5155521035194397,0.05443475395441055,0.19296351075172424,0.669154167175293,0.02724318392574787,0.13108490407466888,1844,23,173,2
base,standard_mlp_sigmoid_curve,Remove_Metal,Fe,train_config_0,0.18330001831054688,0.09269781410694122,0.2636125087738037,0.2511758804321289,0.06988954544067383,0.22946645319461823,1726,141,164,11
base,standard_mlp_sigmoid_curve,Remove_Metal,Mn,train_config_0,0.22607570886611938,0.0861436277627945,0.24870546162128448,-0.02915644645690918,0.11551664024591446,0.2864522635936737,1211,656,119,56
base,standard_mlp_sigmoid_curve,Remove_Metal,Cu,train_config_0,0.24062544107437134,0.08444607257843018,0.24996621906757355,-0.0998615026473999,0.12100748717784882,0.29487937688827515,1451,416,124,51
base,standard_mlp_sigmoid_curve,Remove_Metal,Zr,train_config_0,0.282659113407135,0.08120865374803543,0.24483706057071686,-0.06860840320587158,0.10644905269145966,0.28503650426864624,1664,203,158,17
base,standard_mlp_sigmoid_curve,Remove_Metal,Co,train_config_0,0.48844486474990845,0.057174891233444214,0.197359099984169,0.30964183807373047,0.0825105831027031,0.21901358664035797,1763,104,161,14
base,standard_mlp_sigmoid_curve,Remove_Metal,Ni,train_config_0,0.5686600208282471,0.04814482107758522,0.17288920283317566,0.4961079955101013,0.060640059411525726,0.19876594841480255,1777,90,164,11
base,standard_mlp_sigmoid_curve,Remove_Metal,Sn,train_config_0,0.7548972368240356,0.0273788720369339,0.11744552850723267,0.7947245240211487,0.025698628276586533,0.126837819814682,1813,54,167,8
base,standard_mlp_sigmoid_curve,Remove_Metal,Gd,train_config_0,0.3561815619468689,0.07274658977985382,0.23183438181877136,0.39584648609161377,0.06333187222480774,0.21173922717571259,1675,192,158,17
base,standard_mlp_sigmoid_curve,Remove_Metal,Bi,train_config_0,0.7976312637329102,0.022838687524199486,0.10537432879209518,0.8725661635398865,0.01223785150796175,0.08304372429847717,1736,131,162,13
base,standard_mlp_sigmoid_curve,Remove_Metal,Sm,train_config_0,0.6743549108505249,0.036625560373067856,0.14387325942516327,0.621491551399231,0.04115162789821625,0.1658688187599182,1724,143,162,13
base,standard_mlp_sigmoid_curve,Remove_Metal,Hf,train_config_0,0.5557799339294434,0.05005970224738121,0.17657941579818726,0.6695587635040283,0.03225070983171463,0.15735530853271484,1802,65,171,4
base,standard_mlp_sigmoid_curve,Remove_Metal,Pr,train_config_0,0.6231235861778259,0.04228473827242851,0.1585620641708374,0.30140799283981323,0.07633785903453827,0.21034526824951172,1775,92,166,9
base,standard_mlp_sigmoid_curve,Remove_Metal,La,train_config_0,0.4633059501647949,0.060422658920288086,0.20424030721187592,0.2970689535140991,0.07518292218446732,0.23682162165641785,1718,149,163,12
base,standard_mlp_sigmoid_curve,Remove_Metal,Ti,train_config_0,0.6078331470489502,0.04406563937664032,0.16379502415657043,0.7823700904846191,0.01792052760720253,0.10482002049684525,1844,23,173,2
converted_slot_method,standard_mlp,Remove_Metal,Fe,train_config_0,0.7132159471511841,0.03255081921815872,0.13658253848552704,0.7015172243118286,0.027858110144734383,0.13683532178401947,1726,141,164,11
converted_slot_method,standard_mlp,Remove_Metal,Mn,train_config_0,0.001155555248260498,0.1111789420247078,0.29902151226997375,-0.01938498020172119,0.1144198477268219,0.30314528942108154,1211,656,119,56
converted_slot_method,standard_mlp,Remove_Metal,Cu,train_config_0,0.12565666437149048,0.09723114967346191,0.2788366973400116,0.0046651363372802734,0.10950740426778793,0.2932797968387604,1451,416,124,51
converted_slot_method,standard_mlp,Remove_Metal,Zr,train_config_0,0.4369576573371887,0.06374083459377289,0.21762102842330933,0.08789032697677612,0.09085949510335922,0.2577930688858032,1664,203,158,17
converted_slot_method,standard_mlp,Remove_Metal,Co,train_config_0,0.6076844930648804,0.043847862631082535,0.17170153558254242,0.4342983365058899,0.06761182099580765,0.20465125143527985,1763,104,161,14
converted_slot_method,standard_mlp,Remove_Metal,Ni,train_config_0,0.7057682275772095,0.03284123167395592,0.1391969919204712,0.7386829853057861,0.031447768211364746,0.13109654188156128,1777,90,164,11
converted_slot_method,standard_mlp,Remove_Metal,Sn,train_config_0,0.5905855894088745,0.045733071863651276,0.17665980756282806,0.4432399272918701,0.06970132142305374,0.21797434985637665,1813,54,167,8
converted_slot_method,standard_mlp,Remove_Metal,Gd,train_config_0,0.6429875493049622,0.040339693427085876,0.15988536179065704,0.5648283958435059,0.04561793431639671,0.17319472134113312,1675,192,158,17
converted_slot_method,standard_mlp,Remove_Metal,Bi,train_config_0,0.6066155433654785,0.044396113604307175,0.17315950989723206,0.5475232601165771,0.04345268756151199,0.1703043282032013,1736,131,162,13
converted_slot_method,standard_mlp,Remove_Metal,Sm,train_config_0,0.6723766922950745,0.036848049610853195,0.1504417359828949,0.36805105209350586,0.06870580464601517,0.19582858681678772,1724,143,162,13
converted_slot_method,standard_mlp,Remove_Metal,Hf,train_config_0,0.35816532373428345,0.07232913374900818,0.23521222174167633,0.20557349920272827,0.07753517478704453,0.24375313520431519,1802,65,171,4
converted_slot_method,standard_mlp,Remove_Metal,Pr,train_config_0,0.6157484650611877,0.04311221092939377,0.16868631541728973,0.4766959547996521,0.057183463126420975,0.20172737538814545,1775,92,166,9
converted_slot_method,standard_mlp,Remove_Metal,La,train_config_0,0.6294193267822266,0.04172110930085182,0.16595977544784546,0.5193184018135071,0.051411937922239304,0.1857946813106537,1718,149,163,12
