data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
base,standard_mlp,Random_by_Material,0.2,MSE Loss,0.6696014404296875,0.020071789622306824,0.10718284547328949,0.32522618770599365,0.04121958091855049,0.1583641767501831,1084,267,140,35
base,standard_mlp,Random_by_Material,0.2,Weighted MSE Loss,0.5026333332061768,0.03021513670682907,0.13588637113571167,0.2547467350959778,0.04552492871880531,0.16764509677886963,1084,267,140,35
base,standard_mlp,Random_by_Material,0.2,Stronger Weighting,0.05316978693008423,0.057520151138305664,0.2017143815755844,0.05211150646209717,0.05790320783853531,0.20385685563087463,1084,267,140,35
base,standard_mlp,Random_by_Material,0.2,Extreme Weighting,0.10030913352966309,0.05465642735362053,0.19253522157669067,0.03560823202133179,0.05891133472323418,0.19909536838531494,1084,267,140,35
base,sigmoid_mlp_temp_not_input,Random_by_Material,0.2,MSE Loss,0.49794602394104004,0.0304998941719532,0.14346319437026978,0.2949879765510559,0.043066732585430145,0.1736312210559845,1084,267,140,35
base,sigmoid_mlp_temp_not_input,Random_by_Material,0.2,Weighted MSE Loss,0.5263084173202515,0.028776872903108597,0.1291472315788269,0.30853086709976196,0.042239442467689514,0.1617041826248169,1084,267,140,35
base,sigmoid_mlp_temp_not_input,Random_by_Material,0.2,Stronger Weighting,0.46584761142730713,0.032449882477521896,0.13194598257541656,0.20461279153823853,0.048587433993816376,0.17073306441307068,1084,267,140,35
base,sigmoid_mlp_temp_not_input,Random_by_Material,0.2,Extreme Weighting,0.25055867433547974,0.04552873224020004,0.16484367847442627,0.13094764947891235,0.05308738350868225,0.18135476112365723,1084,267,140,35
base,sigmoid_mlp,Random_by_Material,0.2,MSE Loss,0.5609420537948608,0.02667286992073059,0.12827672064304352,0.3098730444908142,0.042157452553510666,0.16503283381462097,1084,267,140,35
base,sigmoid_mlp,Random_by_Material,0.2,Weighted MSE Loss,0.7312107086181641,0.01632900908589363,0.09024052321910858,0.37124311923980713,0.03840856999158859,0.14284807443618774,1084,267,140,35
base,sigmoid_mlp,Random_by_Material,0.2,Stronger Weighting,0.39006316661834717,0.037053801119327545,0.14166823029518127,0.2712249159812927,0.04451833292841911,0.15738730132579803,1084,267,140,35
