data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
base,standard_mlp,Random_by_Material,0.2,train_config_0,0.5953452587127686,0.04518168047070503,0.1678297072649002,0.4537816047668457,0.06059851124882698,0.18742792308330536,1566,402,146,37
base,standard_mlp,Remove_Metal,Fe,train_config_0,0.48685377836227417,0.05785980820655823,0.19922499358654022,0.21617543697357178,0.07315623015165329,0.22134962677955627,1827,141,172,11
base,standard_mlp,Remove_Metal,Mn,train_config_0,0.32392293214797974,0.07467259466648102,0.24000489711761475,0.12641417980194092,0.0977739617228508,0.26860320568084717,1284,684,123,60
base,standard_mlp,Remove_Metal,Cu,train_config_0,0.0649004578590393,0.10347819328308105,0.28822076320648193,0.0031693577766418457,0.10832656919956207,0.29629501700401306,1523,445,128,55
base,standard_mlp,Remove_Metal,Zr,train_config_0,0.20799481868743896,0.08908692747354507,0.26529186964035034,0.017582058906555176,0.0990632027387619,0.27450206875801086,1746,222,164,19
base,standard_mlp,Remove_Metal,Co,train_config_0,0.18482518196105957,0.09057255834341049,0.2680497169494629,0.11058497428894043,0.10630156099796295,0.2845296859741211,1864,104,169,14
base,standard_mlp,Remove_Metal,Ni,train_config_0,0.5326482057571411,0.05186856538057327,0.18410488963127136,0.5737789869308472,0.05129287391901016,0.18410763144493103,1878,90,172,11
base,standard_mlp,Remove_Metal,Sn,train_config_0,0.6725077033042908,0.03645026683807373,0.1429920196533203,0.6149413585662842,0.04269082099199295,0.1652519404888153,1940,28,180,3
base,standard_mlp,Remove_Metal,Gd,train_config_0,0.2304808497428894,0.08637209236621857,0.26066407561302185,0.30322885513305664,0.07304074615240097,0.2340734750032425,1776,192,166,17
base,standard_mlp,Remove_Metal,Bi,train_config_0,0.6225919723510742,0.042329881340265274,0.15660907328128815,0.8219930529594421,0.01709453947842121,0.09684573113918304,1837,131,170,13
base,standard_mlp,Remove_Metal,Sm,train_config_0,0.6542139649391174,0.03864239156246185,0.15047380328178406,0.5532082319259644,0.048575423657894135,0.16842865943908691,1825,143,170,13
