data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
base,standard_mlp,Random_by_Material,0.2,train_config_0,0.58846116065979,0.04667699709534645,0.16965104639530182,0.3419332504272461,0.06988406926393509,0.21269339323043823,1464,413,140,36
base,standard_mlp,Remove_Metal,Fe,train_config_0,0.4387512803077698,0.06351003050804138,0.21305933594703674,0.18503683805465698,0.07606246322393417,0.2284044325351715,1736,141,165,11
base,standard_mlp,Remove_Metal,Mn,train_config_0,0.2380923628807068,0.0843094065785408,0.25697898864746094,0.11334693431854248,0.09975744783878326,0.27621376514434814,1204,673,117,59
base,standard_mlp,Remove_Metal,Cu,train_config_0,0.13314580917358398,0.09608840197324753,0.27682584524154663,-0.017800450325012207,0.11157725751399994,0.2978673577308655,1443,434,122,54
base,standard_mlp,Remove_Metal,Zr,train_config_0,0.20637613534927368,0.0894925519824028,0.2662793695926666,0.022700250148773193,0.09862029552459717,0.27330857515335083,1667,210,158,18
base,standard_mlp,Remove_Metal,Co,train_config_0,0.3037964105606079,0.07756642252206802,0.24518397450447083,0.19739490747451782,0.09592617303133011,0.25527331233024597,1773,104,162,14
base,standard_mlp,Remove_Metal,Ni,train_config_0,0.5410325527191162,0.051075827330350876,0.18172992765903473,0.5618822574615479,0.05272456258535385,0.18310150504112244,1787,90,165,11
base,standard_mlp,Remove_Metal,Sn,train_config_0,0.6012834310531616,0.04449917748570442,0.15965072810649872,0.5278583765029907,0.05234557017683983,0.17640569806098938,1849,28,173,3
base,standard_mlp,Remove_Metal,Gd,train_config_0,0.01010197401046753,0.11148921400308609,0.2997206449508667,0.05399543046951294,0.09916725009679794,0.2777213156223297,1685,192,159,17
base,standard_mlp,Remove_Metal,Bi,train_config_0,0.7733787894248962,0.025502068921923637,0.11761213839054108,0.8285282850265503,0.016466937959194183,0.0927436351776123,1746,131,163,13
base,standard_mlp,Remove_Metal,Sm,train_config_0,0.677910327911377,0.03610493615269661,0.14421246945858002,0.594149112701416,0.044124308973550797,0.16323289275169373,1734,143,163,13
base,standard_mlp,Remove_Metal,Nd,train_config_0,0.7912994027137756,0.02336879074573517,0.11107587069272995,0.5039576888084412,0.05261368677020073,0.17846278846263885,1798,79,165,11
base,standard_mlp,Remove_Metal,Hf,train_config_0,0.4833971858024597,0.05803104490041733,0.1988755762577057,0.5640941262245178,0.04254394769668579,0.17448844015598297,1812,65,172,4
base,standard_mlp,Remove_Metal,Pr,train_config_0,0.46544599533081055,0.05979565158486366,0.20677673816680908,0.33825987577438354,0.0723109096288681,0.2249341458082199,1785,92,167,9
base,standard_mlp,Remove_Metal,La,train_config_0,0.35906416177749634,0.07191172987222672,0.2320041060447693,0.27971094846725464,0.07703947275876999,0.24089036881923676,1728,149,164,12
converted,standard_mlp,Random_by_Material,0.2,train_config_0,0.7127000093460083,0.0323859378695488,0.13603410124778748,0.5591731071472168,0.04819990694522858,0.1653776615858078,1450,408,139,35
converted,standard_mlp,Remove_Metal,Fe,train_config_0,0.5825676918029785,0.04729441553354263,0.17592157423496246,0.5756147503852844,0.039608895778656006,0.16223426163196564,1717,141,163,11
converted,standard_mlp,Remove_Metal,Mn,train_config_0,0.5113464593887329,0.05407228320837021,0.19678327441215515,0.2934092879295349,0.0798913761973381,0.2367294728755951,1204,654,117,57
converted,standard_mlp,Remove_Metal,Cu,train_config_0,0.03357243537902832,0.10712583363056183,0.2928958237171173,-0.0018014907836914062,0.11078684031963348,0.29953518509864807,1443,415,122,52
converted,standard_mlp,Remove_Metal,Zr,train_config_0,0.2545531988143921,0.08405989408493042,0.25788044929504395,0.11686617136001587,0.08750712126493454,0.2579602301120758,1667,191,158,16
converted,standard_mlp,Remove_Metal,Co,train_config_0,0.3589191436767578,0.07150723785161972,0.23439860343933105,0.2018723487854004,0.09539103507995605,0.2737525403499603,1754,104,160,14
converted,standard_mlp,Remove_Metal,Ni,train_config_0,0.6264703273773193,0.04161245375871658,0.16314566135406494,0.6296387910842896,0.04457051306962967,0.16226914525032043,1768,90,163,11
converted,standard_mlp,Remove_Metal,Sn,train_config_0,0.7400550246238708,0.029042670503258705,0.12421456724405289,0.588746964931488,0.0455949530005455,0.1559073030948639,1830,28,171,3
converted,standard_mlp,Remove_Metal,Gd,train_config_0,0.46806108951568604,0.05998707935214043,0.20782603323459625,0.4331005811691284,0.059426624327898026,0.19783705472946167,1666,192,157,17
converted,standard_mlp,Remove_Metal,Bi,train_config_0,0.42940855026245117,0.06428195536136627,0.21943970024585724,0.4427492618560791,0.053514447063207626,0.18377912044525146,1727,131,161,13
converted,standard_mlp,Remove_Metal,Sm,train_config_0,0.6519002914428711,0.039014797657728195,0.1543770432472229,0.7357034683227539,0.0290851853787899,0.12055143713951111,1727,131,162,12
converted,standard_mlp,Remove_Metal,Nd,train_config_0,0.7556782960891724,0.027393460273742676,0.11965278536081314,0.4872947335243225,0.054490502923727036,0.1811971664428711,1786,72,164,10
converted,standard_mlp,Remove_Metal,Hf,train_config_0,0.4784884452819824,0.058654606342315674,0.20478922128677368,0.39903610944747925,0.05865342915058136,0.2094893604516983,1793,65,170,4
converted,standard_mlp,Remove_Metal,Pr,train_config_0,0.4876859784126282,0.057372305542230606,0.205351784825325,0.3121865391731262,0.07516004145145416,0.23082727193832397,1766,92,165,9
converted,standard_mlp,Remove_Metal,La,train_config_0,0.7698763608932495,0.02585330232977867,0.11543814092874527,0.810214102268219,0.020298801362514496,0.11174926161766052,1709,149,162,12
