data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
1_output_T_beta,full_model,Random_by_Material,0.2,low_branch_weight,0.6450992822647095,0.03899136930704117,0.1492651402950287,0.6764501929283142,0.03918614611029625,0.14393174648284912,1491,376,140,35
1_output_T_beta,full_model,Random_by_Material,0.2,medium_branch_weight,0.6836599707603455,0.03475487604737282,0.14060823619365692,0.7158271670341492,0.03441707789897919,0.1378171592950821,1491,376,140,35
1_output_T_beta,full_model,Random_by_Material,0.2,full_branch_weight,0.7075849771499634,0.032126348465681076,0.13398723304271698,0.7380994558334351,0.03171961382031441,0.12544859945774078,1491,376,140,35
1_output_T_beta,full_model,Remove_Metal,Fe,low_branch_weight,0.5508102774620056,0.05098433420062065,0.18799224495887756,0.6005386114120483,0.037282686680555344,0.16522666811943054,1726,141,164,11
1_output_T_beta,full_model,Remove_Metal,Fe,medium_branch_weight,0.5330390930175781,0.05300142243504524,0.19514431059360504,0.5054633617401123,0.04615629464387894,0.18129697442054749,1726,141,164,11
1_output_T_beta,full_model,Remove_Metal,Fe,full_branch_weight,0.6116737723350525,0.04407615214586258,0.1706782430410385,0.5771681666374207,0.03946390748023987,0.16177640855312347,1726,141,164,11
1_output_T_beta,full_model,Remove_Metal,Mn,low_branch_weight,0.47757571935653687,0.05814976990222931,0.20079369843006134,-0.050732970237731934,0.11793847382068634,0.29191771149635315,1211,656,119,56
1_output_T_beta,full_model,Remove_Metal,Mn,medium_branch_weight,0.23986214399337769,0.08460909128189087,0.24791240692138672,0.0006491541862487793,0.11217113584280014,0.2828589379787445,1211,656,119,56
1_output_T_beta,full_model,Remove_Metal,Mn,full_branch_weight,0.5386183261871338,0.0513552650809288,0.1902555376291275,0.1819034218788147,0.091826431453228,0.24404753744602203,1211,656,119,56
1_output_T_beta,full_model,Remove_Metal,Cu,low_branch_weight,0.22957801818847656,0.08567459881305695,0.2503248155117035,-0.0624237060546875,0.11688856035470963,0.28571680188179016,1451,416,124,51
1_output_T_beta,full_model,Remove_Metal,Cu,medium_branch_weight,0.2861751317977905,0.07938073575496674,0.24502107501029968,-0.03221333026885986,0.11356480419635773,0.287347674369812,1451,416,124,51
1_output_T_beta,full_model,Remove_Metal,Cu,full_branch_weight,0.5193455815315247,0.053451064974069595,0.19428007304668427,0.0046730637550354,0.1095065325498581,0.26172754168510437,1451,416,124,51
1_output_T_beta,full_model,Remove_Metal,Zr,low_branch_weight,0.5908811092376709,0.04631548747420311,0.17446041107177734,0.1850704550743103,0.0811789259314537,0.2475031614303589,1664,203,158,17
1_output_T_beta,full_model,Remove_Metal,Zr,medium_branch_weight,0.813579797744751,0.021104242652654648,0.09907586872577667,0.3393857479095459,0.06580686569213867,0.20213787257671356,1664,203,158,17
1_output_T_beta,full_model,Remove_Metal,Zr,full_branch_weight,0.7915707230567932,0.023595837876200676,0.10673093795776367,0.20597875118255615,0.07909615337848663,0.21294821798801422,1664,203,158,17
1_output_T_beta,full_model,Remove_Metal,Co,low_branch_weight,0.6620100140571594,0.03777606785297394,0.14724242687225342,0.49348849058151245,0.06053750216960907,0.18672135472297668,1763,104,161,14
1_output_T_beta,full_model,Remove_Metal,Co,medium_branch_weight,0.6278930902481079,0.04158920422196388,0.16182099282741547,0.4875680208206177,0.061245109885931015,0.19579707086086273,1763,104,161,14
1_output_T_beta,full_model,Remove_Metal,Co,full_branch_weight,0.4496341943740845,0.06151263788342476,0.2094208300113678,0.47409528493881226,0.06285534799098969,0.21410727500915527,1763,104,161,14
1_output_T_beta,full_model,Remove_Metal,Ni,low_branch_weight,0.40042024850845337,0.06692322343587875,0.22237220406532288,0.574435830116272,0.0512138269841671,0.1947679966688156,1777,90,164,11
1_output_T_beta,full_model,Remove_Metal,Ni,medium_branch_weight,0.46091413497924805,0.060171086341142654,0.21062380075454712,0.613597571849823,0.04650096967816353,0.17872317135334015,1777,90,164,11
1_output_T_beta,full_model,Remove_Metal,Ni,full_branch_weight,0.4156145453453064,0.06522728502750397,0.218181312084198,0.6466382741928101,0.04252474009990692,0.17410221695899963,1777,90,164,11
1_output_T_beta,full_model,Remove_Metal,Sn,low_branch_weight,0.6099741458892822,0.04356730356812477,0.16547435522079468,0.47242724895477295,0.06604733318090439,0.20530465245246887,1813,54,167,8
1_output_T_beta,full_model,Remove_Metal,Sn,medium_branch_weight,0.6549753546714783,0.03854050114750862,0.15236896276474,0.5721107721328735,0.053567856550216675,0.17854541540145874,1813,54,167,8
1_output_T_beta,full_model,Remove_Metal,Sn,full_branch_weight,0.5885730981826782,0.04595788195729256,0.17527449131011963,0.5208269953727722,0.059988122433423996,0.19845162332057953,1813,54,167,8
1_output_T_beta,full_model,Remove_Metal,Gd,low_branch_weight,0.38246262073516846,0.06977702677249908,0.22298860549926758,0.5232282876968384,0.04997876286506653,0.182258740067482,1675,192,158,17
1_output_T_beta,full_model,Remove_Metal,Gd,medium_branch_weight,0.5237096548080444,0.053817182779312134,0.19518142938613892,0.5223383903503418,0.05007205531001091,0.1809207648038864,1675,192,158,17
1_output_T_beta,full_model,Remove_Metal,Gd,full_branch_weight,0.4184579849243164,0.06570982933044434,0.2226937860250473,0.4686397910118103,0.05570113658905029,0.1949141025543213,1675,192,158,17
1_output_T_beta,full_model,Remove_Metal,Bi,low_branch_weight,0.2735651135444641,0.08198311924934387,0.24543485045433044,0.5967462658882141,0.038725655525922775,0.16222096979618073,1736,131,162,13
1_output_T_beta,full_model,Remove_Metal,Bi,medium_branch_weight,0.23422634601593018,0.08642276376485825,0.2557312250137329,0.517207145690918,0.046364035457372665,0.1799677610397339,1736,131,162,13
1_output_T_beta,full_model,Remove_Metal,Bi,full_branch_weight,0.579731285572052,0.04743018373847008,0.17765164375305176,0.5981229543685913,0.03859345242381096,0.15485049784183502,1736,131,162,13
1_output_T_beta,full_model,Remove_Metal,Sm,low_branch_weight,0.700079083442688,0.0337323397397995,0.13580171763896942,0.7146749496459961,0.03102068416774273,0.11268357187509537,1724,143,162,13
1_output_T_beta,full_model,Remove_Metal,Sm,medium_branch_weight,0.5380574464797974,0.05195504426956177,0.19037240743637085,0.5509811639785767,0.048817556351423264,0.18445464968681335,1724,143,162,13
1_output_T_beta,full_model,Remove_Metal,Sm,full_branch_weight,0.5595636367797852,0.04953622445464134,0.18153877556324005,0.5557693839073181,0.0482969768345356,0.17475798726081848,1724,143,162,13
