data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Random_by_Material,0.2,train_config_0,0.7500691413879395,0.028009116649627686,0.12763527035713196,0.47594016790390015,0.05822314694523811,0.18465499579906464,1598,403,150,38
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Fe,train_config_0,0.6862658262252808,0.035472944378852844,0.14933942258358002,0.6680656671524048,0.030980225652456284,0.1426009088754654,1860,141,177,11
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Mn,train_config_0,0.43000853061676025,0.06314898282289505,0.22117789089679718,0.25007104873657227,0.08420800417661667,0.25362610816955566,1305,696,126,62
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Cu,train_config_0,0.43720221519470215,0.0621754415333271,0.21776622533798218,0.1804065704345703,0.09125304222106934,0.25707143545150757,1539,462,130,58
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Zr,train_config_0,0.4143950939178467,0.0660848319530487,0.22458593547344208,0.2637539505958557,0.07424018532037735,0.23597389459609985,1779,222,169,19
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Co,train_config_0,0.47082966566085815,0.05897790193557739,0.20996662974357605,0.30079513788223267,0.08356793224811554,0.25336530804634094,1897,104,174,14
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Ni,train_config_0,0.6803752183914185,0.03558116406202316,0.14998401701450348,0.5264235734939575,0.056991782039403915,0.18726469576358795,1911,90,177,11
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Sn,train_config_0,0.6848145723342896,0.03518252447247505,0.14834995567798615,0.6241364479064941,0.04167138412594795,0.14293842017650604,1973,28,185,3
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Gd,train_config_0,0.7288002967834473,0.030530942603945732,0.131597638130188,0.6664999127388,0.03495996445417404,0.1479804366827011,1809,192,171,17
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Bi,train_config_0,0.6729902029037476,0.03678029403090477,0.15174832940101624,0.7297524213790894,0.02595268003642559,0.13109707832336426,1870,131,175,13
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Sm,train_config_0,0.705419659614563,0.03302175924181938,0.14271844923496246,0.7309491634368896,0.02925134263932705,0.12317908555269241,1858,143,175,13
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Nd,train_config_0,0.7234910726547241,0.030959758907556534,0.13710226118564606,0.5701792240142822,0.04558976739645004,0.16980981826782227,1922,79,177,11
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Hf,train_config_0,0.4771444797515869,0.058726076036691666,0.20925429463386536,0.44267451763153076,0.05439436808228493,0.19484291970729828,1936,65,184,4
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Pr,train_config_0,0.6406201124191284,0.04020071402192116,0.16457000374794006,0.4380107522010803,0.06141074746847153,0.20577532052993774,1909,92,179,9
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,La,train_config_0,0.7434017658233643,0.02878996729850769,0.1270345151424408,0.7685424089431763,0.024755852296948433,0.11973030120134354,1852,149,176,12
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Eu,train_config_0,0.33408117294311523,0.07450685650110245,0.24085353314876556,0.1924905776977539,0.08313817530870438,0.2617844045162201,1958,43,185,3
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Tb,train_config_0,0.7088770866394043,0.032609544694423676,0.13990812003612518,0.8716017007827759,0.01293124072253704,0.09500836580991745,1976,25,186,2
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Ti,train_config_0,0.6493580341339111,0.03928106278181076,0.16232244670391083,0.8365943431854248,0.013455483131110668,0.09841238707304001,1978,23,186,2
4_output_alpha_and_beta,tpr_and_tpd_branches_only,Remove_Metal,Ag,train_config_0,0.5391424894332886,0.05142529308795929,0.19283337891101837,0.11753880977630615,0.11675100028514862,0.2875894010066986,1981,20,185,3
1_output_T_beta,tpr_and_tpd_branches_only,Random_by_Material,0.2,train_config_0,0.7495160698890686,0.028071096166968346,0.12897248566150665,0.5302102565765381,0.05219373479485512,0.17631027102470398,1598,403,150,38
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Fe,train_config_0,0.7138304710388184,0.03235629200935364,0.13928307592868805,0.7085651159286499,0.02720031328499317,0.1318514198064804,1860,141,177,11
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Mn,train_config_0,0.3493846654891968,0.07208124548196793,0.23828917741775513,0.17378711700439453,0.09277378022670746,0.2686350345611572,1305,696,126,62
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Cu,train_config_0,0.4510002136230469,0.06065109744668007,0.21462227404117584,0.23871618509292603,0.0847608894109726,0.25053924322128296,1539,462,130,58
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Zr,train_config_0,0.48228996992111206,0.05842297896742821,0.20874851942062378,0.23109495639801025,0.07753339409828186,0.24237339198589325,1779,222,169,19
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Co,train_config_0,0.5537381172180176,0.04973745718598366,0.1892746537923813,0.3995949625968933,0.07175952196121216,0.22391994297504425,1897,104,174,14
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Ni,train_config_0,0.7125838994979858,0.031995635479688644,0.14034339785575867,0.4877229928970337,0.0616491436958313,0.18689903616905212,1911,90,177,11
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Sn,train_config_0,0.7017185688018799,0.03329562023282051,0.1418740153312683,0.6287213563919067,0.04116305708885193,0.14774680137634277,1973,28,185,3
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Gd,train_config_0,0.6322044730186462,0.04140544682741165,0.16597767174243927,0.6264735460281372,0.039155829697847366,0.16116130352020264,1809,192,171,17
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Bi,train_config_0,0.6324998140335083,0.04133443534374237,0.166194349527359,0.7257792949676514,0.026334231719374657,0.12966874241828918,1870,131,175,13
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Sm,train_config_0,0.69586181640625,0.03409317880868912,0.1448383629322052,0.7529698610305786,0.026857241988182068,0.11578774452209473,1858,143,175,13
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Nd,train_config_0,0.7011504173278809,0.03346116840839386,0.14294150471687317,0.5959012508392334,0.042861517518758774,0.1640693098306656,1922,79,177,11
