data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Random_by_Material,0.2,train_config_0,0.157234787940979,0.09444655478000641,0.2742214798927307,0.10918515920639038,0.09896969795227051,0.27911466360092163,1598,403,150,38
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Fe,train_config_0,0.03239637613296509,0.10940391570329666,0.2974747121334076,-0.004618525505065918,0.09376346319913864,0.26977935433387756,1860,141,177,11
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Mn,train_config_0,0.09328490495681763,0.10045437514781952,0.2840135991573334,0.07135075330734253,0.1042761504650116,0.28710007667541504,1305,696,126,62
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Cu,train_config_0,0.07517653703689575,0.10217045992612839,0.2864771783351898,0.05578184127807617,0.1051286906003952,0.2918999493122101,1539,462,130,58
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Zr,train_config_0,0.030196666717529297,0.10944118350744247,0.2966381311416626,0.039684176445007324,0.09683451056480408,0.27757528424263,1779,222,169,19
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Co,train_config_0,-0.010968327522277832,0.1126759871840477,0.2978188097476959,-0.04648292064666748,0.1250740885734558,0.3160606026649475,1897,104,174,14
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Ni,train_config_0,-0.021885037422180176,0.11375795304775238,0.29977333545684814,0.0369451642036438,0.11589726060628891,0.3081790804862976,1911,90,177,11
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Sn,train_config_0,-0.02581655979156494,0.11450663954019547,0.3012598156929016,-0.24656188488006592,0.13820427656173706,0.33880963921546936,1973,28,185,3
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Gd,train_config_0,0.02543741464614868,0.10971367359161377,0.2970791161060333,0.05007600784301758,0.09957811236381531,0.281786173582077,1809,192,171,17
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Bi,train_config_0,-0.06075549125671387,0.11930804699659348,0.30688098073005676,-0.2457106113433838,0.11962930858135223,0.307005375623703,1870,131,175,13
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Sm,train_config_0,0.6943645477294922,0.034261010587215424,0.142380028963089,0.7425860166549683,0.02798617258667946,0.12005344778299332,1858,143,175,13
converted_weighted_method_mean_std_min_and_max_with_Ag,full_without_hybridisation,Remove_Metal,Nd,train_config_0,0.6947292685508728,0.03418011590838432,0.1417236328125,0.3897361755371094,0.06472881138324738,0.19877775013446808,1922,79,177,11
