data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
1_output_T_beta,tpr_and_tpd_branches_only,Random_by_Material,0.2,train_config_0,0.7659177184104919,0.026251759380102158,0.12072709202766418,0.523036003112793,0.053649913519620895,0.16710904240608215,1661,382,156,39
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Fe,train_config_0,0.7082592844963074,0.03308015316724777,0.14132443070411682,0.6279283761978149,0.0347263403236866,0.1509263962507248,1902,141,184,11
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Mn,train_config_0,0.30775606632232666,0.07700605690479279,0.2468288689851761,0.12625664472579956,0.0981108769774437,0.27551260590553284,1347,696,133,62
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Cu,train_config_0,0.35544919967651367,0.07145680487155914,0.2366284728050232,0.161180317401886,0.09339368343353271,0.26504161953926086,1581,462,137,58
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Zr,train_config_0,0.5715634822845459,0.04851500689983368,0.18496796488761902,0.2531317472457886,0.07531128823757172,0.24179451167583466,1821,222,176,19
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Co,train_config_0,0.6820433139801025,0.03555375710129738,0.15134181082248688,0.4392349123954773,0.06702180951833725,0.19718000292778015,1939,104,181,14
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Ni,train_config_0,0.6665648818016052,0.03723732754588127,0.15468455851078033,0.5555609464645386,0.053485289216041565,0.18288995325565338,1953,90,184,11
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Sn,train_config_0,0.5455126762390137,0.05079245939850807,0.19173377752304077,0.41373276710510254,0.07339534908533096,0.22501076757907867,1989,54,187,8
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Gd,train_config_0,0.7168270349502563,0.03197783604264259,0.13700413703918457,0.5959676504135132,0.042353685945272446,0.16686539351940155,1851,192,178,17
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Bi,train_config_0,0.5809798836708069,0.04726559296250343,0.182741180062294,0.6303633451461792,0.035497307777404785,0.14835520088672638,1912,131,182,13
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Sm,train_config_0,0.6962133646011353,0.03416457399725914,0.14469656348228455,0.7484134435653687,0.02735261619091034,0.11764275282621384,1900,143,182,13
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Nd,train_config_0,0.7587485313415527,0.02709444798529148,0.1225675716996193,0.5603858828544617,0.046628519892692566,0.16532757878303528,1964,79,184,11
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Hf,train_config_0,0.4653189778327942,0.060239024460315704,0.21273896098136902,0.2982786297798157,0.0684872567653656,0.21325063705444336,1978,65,191,4
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Pr,train_config_0,0.6626887321472168,0.037848591804504395,0.15613697469234467,0.49618303775787354,0.05505403131246567,0.19725607335567474,1951,92,186,9
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,La,train_config_0,0.7475990653038025,0.028412066400051117,0.12407255172729492,0.7888311147689819,0.022585846483707428,0.11236889660358429,1894,149,183,12
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Eu,train_config_0,0.7342718839645386,0.02982543595135212,0.12866953015327454,0.5323169827461243,0.048150911927223206,0.1912808120250702,2000,43,192,3
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Tb,train_config_0,0.7204235792160034,0.03141162917017937,0.13299515843391418,0.8546068072319031,0.014642830938100815,0.10184499621391296,2018,25,193,2
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Ti,train_config_0,0.643133282661438,0.04009771719574928,0.16366739571094513,0.9083731174468994,0.007544924970716238,0.07279049605131149,2020,23,193,2
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Ag,train_config_0,0.3970993757247925,0.06748783588409424,0.22857816517353058,0.0494687557220459,0.12575677037239075,0.29613131284713745,2023,20,192,3
1_output_T_beta,tpr_and_tpd_branches_only,Remove_Metal,Y,train_config_0,-0.025233745574951172,0.11503612995147705,0.3029121458530426,-0.07955622673034668,0.10816292464733124,0.30071866512298584,2034,9,194,1
