data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
converted,full_without_hybridisation,Random_by_Material,0.2,train_config_0,0.21719157695770264,0.08578435331583023,0.2597762644290924,0.18535465002059937,0.0860503613948822,0.25981637835502625,2180,513,208,52
converted,full_without_hybridisation,Remove_Metal,Fe,train_config_0,0.26178765296936035,0.08093913644552231,0.2519204914569855,0.27694302797317505,0.06748463958501816,0.22593475878238678,2552,141,249,11
converted,full_without_hybridisation,Remove_Metal,Mn,train_config_0,-0.246934175491333,0.1368812769651413,0.3246020972728729,-0.1177067756652832,0.11745171248912811,0.29816627502441406,1791,902,176,84
converted,full_without_hybridisation,Remove_Metal,Cu,train_config_0,0.3744240403175354,0.06839127093553543,0.230221226811409,-0.06741583347320557,0.10817016661167145,0.2770092487335205,1970,723,169,91
converted,full_without_hybridisation,Remove_Metal,Zr,train_config_0,-0.022893786430358887,0.11199857294559479,0.2921963930130005,-0.06754648685455322,0.11261659860610962,0.28742778301239014,2186,507,213,47
converted,full_without_hybridisation,Remove_Metal,Co,train_config_0,0.0400012731552124,0.10409575700759888,0.2865864932537079,0.05676001310348511,0.11273464560508728,0.3011848032474518,2589,104,246,14
converted,full_without_hybridisation,Remove_Metal,Ni,train_config_0,0.1955776810646057,0.08720368891954422,0.26260653138160706,0.2070251703262329,0.09542926400899887,0.27137142419815063,2603,90,249,11
converted,full_without_hybridisation,Remove_Metal,Sn,train_config_0,-0.052352070808410645,0.11497560888528824,0.30009233951568604,-0.07334065437316895,0.09305734187364578,0.27019184827804565,2625,68,253,7
converted,full_without_hybridisation,Remove_Metal,Gd,train_config_0,0.06472551822662354,0.10248574614524841,0.28518038988113403,0.09417420625686646,0.09212718904018402,0.26688826084136963,2442,251,237,23
converted,full_without_hybridisation,Remove_Metal,Bi,train_config_0,0.40806543827056885,0.06512150913476944,0.22189123928546906,0.37470543384552,0.0548807717859745,0.1880442202091217,2476,217,238,22
converted,full_without_hybridisation,Remove_Metal,Sm,train_config_0,0.5978206396102905,0.04376374930143356,0.17230969667434692,0.6820369958877563,0.034642770886421204,0.15365536510944366,2521,172,244,16
converted,full_without_hybridisation,Remove_Metal,Nd,train_config_0,0.22164028882980347,0.08485095202922821,0.258744478225708,0.16423916816711426,0.0873529240489006,0.2656704783439636,2587,106,247,13
converted,full_without_hybridisation,Remove_Metal,Hf,train_config_0,0.1588832139968872,0.09175994992256165,0.26819080114364624,0.16431641578674316,0.08156181871891022,0.2508572041988373,2628,65,256,4
converted,full_without_hybridisation,Remove_Metal,Pr,train_config_0,0.15757465362548828,0.09175620228052139,0.26898160576820374,0.11469048261642456,0.09556274861097336,0.27554360032081604,2519,174,244,16
converted,full_without_hybridisation,Remove_Metal,La,train_config_0,0.03561276197433472,0.10504712909460068,0.2860786020755768,0.026269078254699707,0.1038779690861702,0.2889218032360077,2517,176,245,15
converted,full_without_hybridisation,Remove_Metal,Eu,train_config_0,0.2518603801727295,0.0814235508441925,0.2531536817550659,0.1932862401008606,0.08454807102680206,0.2624236047267914,2634,59,256,4
converted,full_without_hybridisation,Remove_Metal,Tb,train_config_0,0.4012294411659241,0.06529928743839264,0.22300641238689423,0.33284151554107666,0.06533858180046082,0.22126059234142303,2647,46,257,3
converted,full_without_hybridisation,Remove_Metal,Ti,train_config_0,-0.14945602416992188,0.1257423311471939,0.3123162090778351,-0.2570711374282837,0.09840040653944016,0.28400397300720215,2631,62,254,6
