data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae,train_points,test_points,train_materials,test_materials
1_output_T_beta,no_branching,Random_by_Material,0.2,full_branch_weight,0.6367822885513306,0.040055714547634125,0.15615049004554749,0.4933726191520691,0.0601477287709713,0.18135976791381836,1535,411,148,38
1_output_T_beta,no_branching,Random_by_Material,0.2,branch_weighted_eval,0.649596631526947,0.03864254429936409,0.1491473913192749,0.5347982048988342,0.05522960424423218,0.17786172032356262,1535,411,148,38
1_output_T_beta,no_branching,Remove_Metal,Fe,full_branch_weight,0.4826388955116272,0.0586407370865345,0.20580899715423584,0.5211191773414612,0.04469509795308113,0.18269994854927063,1805,141,175,11
1_output_T_beta,no_branching,Remove_Metal,Fe,branch_weighted_eval,0.5576019287109375,0.05014398694038391,0.18293432891368866,0.5050418376922607,0.046195633709430695,0.18467171490192413,1805,141,175,11
1_output_T_beta,no_branching,Remove_Metal,Mn,full_branch_weight,0.22707629203796387,0.08605645596981049,0.2521938681602478,0.04632067680358887,0.10663465410470963,0.2785900831222534,1255,691,125,61
1_output_T_beta,no_branching,Remove_Metal,Mn,branch_weighted_eval,0.18648982048034668,0.09057530760765076,0.25228068232536316,0.11517781019210815,0.09893546998500824,0.265013188123703,1255,691,125,61
1_output_T_beta,no_branching,Remove_Metal,Cu,full_branch_weight,0.26230210065841675,0.0820612907409668,0.24295026063919067,-0.2598503828048706,0.13777831196784973,0.30799874663352966,1495,451,130,56
1_output_T_beta,no_branching,Remove_Metal,Cu,branch_weighted_eval,0.4032118320465088,0.06638652831315994,0.21917001903057098,0.00944066047668457,0.10832840949296951,0.2637827694416046,1495,451,130,56
1_output_T_beta,no_branching,Remove_Metal,Zr,full_branch_weight,0.20622122287750244,0.08969147503376007,0.2556610703468323,-0.06912851333618164,0.10788682848215103,0.2868587076663971,1736,210,168,18
1_output_T_beta,no_branching,Remove_Metal,Zr,branch_weighted_eval,0.20739299058914185,0.08955907076597214,0.2593388855457306,-0.19278812408447266,0.1203654482960701,0.30175095796585083,1736,210,168,18
1_output_T_beta,no_branching,Remove_Metal,Co,full_branch_weight,0.6455095410346985,0.03958500176668167,0.15483587980270386,0.4803376793861389,0.062109269201755524,0.19429349899291992,1842,104,172,14
1_output_T_beta,no_branching,Remove_Metal,Co,branch_weighted_eval,0.6543387174606323,0.03859907016158104,0.15518827736377716,0.5031799077987671,0.059379205107688904,0.18577629327774048,1842,104,172,14
1_output_T_beta,no_branching,Remove_Metal,Ni,full_branch_weight,0.6298298835754395,0.04128788784146309,0.16370601952075958,0.5749126076698303,0.05115644633769989,0.16853778064250946,1856,90,175,11
1_output_T_beta,no_branching,Remove_Metal,Ni,branch_weighted_eval,0.5770204067230225,0.04717812314629555,0.1724356710910797,0.6689285635948181,0.03984225168824196,0.1630612015724182,1856,90,175,11
1_output_T_beta,no_branching,Remove_Metal,Sn,full_branch_weight,0.33897221088409424,0.07378193736076355,0.2312013804912567,0.3517553210258484,0.08115436136722565,0.24045734107494354,1892,54,178,8
1_output_T_beta,no_branching,Remove_Metal,Sn,branch_weighted_eval,0.4739115834236145,0.058720409870147705,0.20145533978939056,0.3784264326095581,0.07781538367271423,0.23591235280036926,1892,54,178,8
1_output_T_beta,no_branching,Remove_Metal,Gd,full_branch_weight,0.5821722745895386,0.04714902490377426,0.17533273994922638,0.5373749732971191,0.04849579930305481,0.17243526875972748,1754,192,169,17
1_output_T_beta,no_branching,Remove_Metal,Gd,branch_weighted_eval,0.3919864892959595,0.06861019879579544,0.22415617108345032,0.47869205474853516,0.05464738607406616,0.19263939559459686,1754,192,169,17
1_output_T_beta,no_branching,Remove_Metal,Bi,full_branch_weight,0.2686576843261719,0.08245134353637695,0.24881121516227722,0.494442880153656,0.04855015501379967,0.19215139746665955,1815,131,173,13
1_output_T_beta,no_branching,Remove_Metal,Bi,branch_weighted_eval,0.22555357217788696,0.08731088042259216,0.25122588872909546,0.5745572447776794,0.040856536477804184,0.16941216588020325,1815,131,173,13
1_output_T_beta,no_branching,Remove_Metal,Sm,full_branch_weight,0.29435986280441284,0.07926550507545471,0.24337975680828094,0.46043676137924194,0.05866158753633499,0.20650994777679443,1803,143,173,13
1_output_T_beta,no_branching,Remove_Metal,Sm,branch_weighted_eval,0.6248887777328491,0.04213675111532211,0.15719155967235565,0.7014912366867065,0.032454025000333786,0.13525855541229248,1803,143,173,13
1_output_T_beta,no_branching,Remove_Metal,Nd,full_branch_weight,0.3768067955970764,0.06992200016975403,0.2275216281414032,0.39796823263168335,0.06385566294193268,0.22681505978107452,1867,79,175,11
1_output_T_beta,no_branching,Remove_Metal,Nd,branch_weighted_eval,0.6455186605453491,0.039772648364305496,0.15169227123260498,0.49204015731811523,0.05387774109840393,0.19053007662296295,1867,79,175,11
1_output_T_beta,no_branching,Remove_Metal,Hf,full_branch_weight,0.18014425039291382,0.0922737568616867,0.26149940490722656,0.26363974809646606,0.07186797261238098,0.23342862725257874,1881,65,182,4
1_output_T_beta,no_branching,Remove_Metal,Hf,branch_weighted_eval,0.3503185510635376,0.0731208473443985,0.23582014441490173,0.45222795009613037,0.053461965173482895,0.2029501497745514,1881,65,182,4
1_output_T_beta,no_branching,Remove_Metal,Pr,full_branch_weight,0.6627370715141296,0.037804871797561646,0.15026609599590302,0.39649468660354614,0.06594736874103546,0.2080439031124115,1854,92,177,9
1_output_T_beta,no_branching,Remove_Metal,Pr,branch_weighted_eval,0.3520059585571289,0.0726357027888298,0.22786827385425568,0.24152535200119019,0.08288146555423737,0.24482598900794983,1854,92,177,9
1_output_T_beta,no_branching,Remove_Metal,La,full_branch_weight,0.6625934839248657,0.037935368716716766,0.15029053390026093,0.7242769002914429,0.029490329325199127,0.13230524957180023,1797,149,174,12
1_output_T_beta,no_branching,Remove_Metal,La,branch_weighted_eval,0.550936222076416,0.05048925429582596,0.18286027014255524,0.706749677658081,0.03136498108506203,0.13709911704063416,1797,149,174,12
1_output_T_beta,no_branching,Remove_Metal,Ti,full_branch_weight,0.3787727952003479,0.0697336196899414,0.2291247397661209,0.6859956979751587,0.0258563831448555,0.13653479516506195,1923,23,184,2
1_output_T_beta,no_branching,Remove_Metal,Ti,branch_weighted_eval,0.3485141396522522,0.07313019782304764,0.23033952713012695,0.7056722640991211,0.024236131459474564,0.12194419652223587,1923,23,184,2
